# L9 File Metrics
# =================
# Format: path/to/file.py | Lines: N | Classes: N | Functions: N
# Use for: Finding large files, complexity hotspots

| File | Lines | Classes | Functions | Async |
| `orchestrators/memory/housekeeping.py` | 344 | 1 | 1 | 7 |
| `scripts/neo4j_merge_agent_nodes.py` | 344 | 0 | 0 | 7 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script_2.py` | 344 | 0 | 0 | 0 |
| `core/schemas/tasks.py` | 343 | 7 | 9 | 0 |
| `tests/docker/test_stack_smoke.py` | 341 | 7 | 17 | 1 |
| `telemetry/slack_metrics.py` | 339 | 0 | 10 | 0 |
| `core/schemas/tests/test_research_factory.py` | 338 | 7 | 16 | 3 |
| `tests/smoke_test.py` | 338 | 1 | 12 | 3 |
| `tests/smoke_test_root.py` | 338 | 1 | 12 | 3 |
| `agents/codegenagent/meta_loader.py` | 338 | 2 | 12 | 0 |
| `email_agent/client.py` | 336 | 0 | 1 | 0 |
| `tests/integration/test_graph_state_integration.py` | 334 | 0 | 3 | 7 |
| `orchestrators/agent_execution/task_queue.py` | 334 | 1 | 7 | 0 |
| `core/observability/instrumentation.py` | 333 | 0 | 12 | 4 |
| `world_model/causal_graph.py` | 333 | 3 | 18 | 0 |
| `tests/core/agents/test_agent_self_modify.py` | 332 | 0 | 6 | 8 |
| `tests/integration/test_world_model.py` | 332 | 4 | 5 | 14 |
| `memory/strategymemory.py` | 331 | 5 | 1 | 6 |
| `tests/unit/test_startup_readiness.py` | 331 | 7 | 12 | 7 |
| `agents/coder_agent_b.py` | 331 | 1 | 2 | 7 |
| `igor/audit-tools/services_symbolic_computation_tools_symbolic_tool.py` | 331 | 1 | 5 | 2 |
| `services/symbolic_computation/tools/symbolic_tool.py` | 331 | 1 | 5 | 2 |
| `core/schemas/event_stream.py` | 329 | 6 | 3 | 0 |
| `igor/audit-memory/core_schemas_event_stream.py` | 329 | 6 | 3 | 0 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script_6.py` | 328 | 0 | 0 | 0 |
| `tests/core/agents/test_graph_state.py` | 327 | 0 | 10 | 3 |
| `tests/integration/test_tool_patterns.py` | 327 | 0 | 10 | 6 |
| `ci/check_schema_deprecation.py` | 325 | 1 | 8 | 0 |
| `orchestrators/agent_execution/orchestrator.py` | 325 | 1 | 1 | 3 |
| `tests/mocks/world_model_mocks.py` | 324 | 3 | 3 | 8 |
| `core/governance/loader.py` | 323 | 3 | 13 | 0 |
| `core/tools/symbolic_tool.py` | 321 | 1 | 4 | 5 |
| `core/integration/graph_to_wm_sync.py` | 321 | 1 | 4 | 8 |
| `agents/coder_agent_a.py` | 321 | 1 | 2 | 6 |
| `igor/audit-tools/core_tools_symbolic_tool.py` | 321 | 1 | 4 | 5 |
| `services/symbolic_computation/test_symbolic_computation.py` | 321 | 7 | 13 | 11 |
| `tests/memory/test_consolidation_graph.py` | 318 | 0 | 3 | 8 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/tests/test_pipeline.py` | 318 | 5 | 15 | 0 |
| `tests/unit/test_kernel_observability.py` | 317 | 5 | 23 | 0 |
| `core/agents/graph_state/agent_graph_loader.py` | 316 | 6 | 5 | 4 |
| `_archived/codegen_slack_adapter/module.slack_adapter/adapters/slack_webhook_adapter.py` | 315 | 4 | 3 | 8 |
| `agents/architect_agent_b.py` | 313 | 1 | 2 | 5 |
| `core/testing/test_agent.py` | 312 | 2 | 4 | 3 |
| `services/slack_client.py` | 312 | 0 | 3 | 0 |
| `services/symbolic_computation/core/expression_evaluator.py` | 311 | 1 | 6 | 1 |
| `core/governance/quick_fixes.py` | 309 | 3 | 9 | 0 |
| `tests/test_slack_adapter.py` | 309 | 3 | 13 | 3 |
| `services/mac_tasks.py` | 309 | 1 | 7 | 0 |
| `core/agents/adaptive_prompting.py` | 307 | 0 | 3 | 4 |
| `codegen/extractions/domain_tensor_bridge_v6_20260102/domain_tensor_bridge/memory_bridge.py` | 307 | 3 | 1 | 7 |
| `core/testing/test_generator.py` | 306 | 1 | 12 | 0 |
| `tests/ir_engine/test_ir_semantic_to_plan_integration.py` | 305 | 5 | 8 | 3 |
| `runtime/rate_limiter.py` | 304 | 1 | 1 | 6 |
| `core/testing/test_executor.py` | 303 | 3 | 3 | 3 |
| `tests/mocks/orchestrator_mocks.py` | 301 | 2 | 6 | 14 |
| `codegen/extractions/domain_tensor_bridge_v6_20260102/domain_tensor_bridge/governance_bridge.py` | 298 | 4 | 3 | 5 |
| `email_agent/triage.py` | 297 | 0 | 3 | 0 |
| `api/slack_adapter.py` | 296 | 3 | 6 | 0 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script_3.py` | 292 | 0 | 0 | 0 |
| `email_agent/parser.py` | 292 | 1 | 11 | 0 |
| `services/symbolic_computation/core/validator.py` | 292 | 1 | 8 | 0 |
| `core/tools/sanitizer.py` | 290 | 3 | 12 | 0 |
| `tests/test_research_graph.py` | 289 | 3 | 9 | 3 |
| `tests/mocks/memory_mocks.py` | 289 | 3 | 12 | 8 |
| `igor/audit-memory/tests_mocks_memory_mocks.py` | 289 | 3 | 12 | 8 |
| `memory/tool_audit.py` | 288 | 0 | 1 | 3 |
| `scripts/delegate_deep_research.py` | 287 | 0 | 2 | 3 |
| `core/observability/context_strategies.py` | 286 | 7 | 4 | 7 |
| `agents/architect_agent_a.py` | 285 | 1 | 2 | 4 |
| `core/schemas/capabilities.py` | 284 | 3 | 5 | 0 |
| `ci/check_no_deprecated_services.py` | 284 | 1 | 4 | 0 |
| `igor/audit-tools/core_schemas_capabilities.py` | 284 | 3 | 5 | 0 |
| `world_model/registry.py` | 283 | 3 | 16 | 0 |
| `core/tools/tool_audit.py` | 282 | 3 | 3 | 7 |
| `core/schemas/packet_envelope.py` | 282 | 13 | 2 | 0 |
| `core/governance/mistake_prevention.py` | 282 | 4 | 9 | 0 |
| `tests/services/symbolic_computation/test_expression_evaluator.py` | 281 | 7 | 12 | 11 |
| `core/observability/failures.py` | 279 | 3 | 3 | 6 |
| `codegen/extractions/domain_tensor_bridge_v6_20260102/domain_tensor_bridge/reasoning_engine.py` | 279 | 2 | 3 | 6 |
| `scripts/init_workspace.py` | 279 | 1 | 3 | 0 |
| `services/symbolic_computation/core/cache_manager.py` | 277 | 1 | 6 | 5 |
| `core/observability/circuit_breaker.py` | 276 | 4 | 12 | 0 |
| `tests/memory/test_packet_envelope_immutability.py` | 274 | 2 | 14 | 0 |
| `tests/core/schemas/test_content_hash_integrity.py` | 272 | 5 | 14 | 0 |
| `world_model/state.py` | 271 | 3 | 16 | 0 |
| `orchestrators/ws_bridge.py` | 271 | 2 | 6 | 1 |
| `api/adapters/calendar_adapter/tests/test_calendar_adapter.py` | 269 | 3 | 5 | 8 |
| `codegen/extractions/domain_tensor_bridge_v6_20260102/domain_tensor_bridge/decision_synthesizer.py` | 268 | 2 | 7 | 1 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script_1.py` | 268 | 0 | 0 | 0 |
| `core/kernels/prompt_builder.py` | 267 | 0 | 8 | 0 |
| `api/adapters/email_adapter/tests/test_email_adapter.py` | 267 | 3 | 5 | 8 |
| `api/adapters/twilio_adapter/tests/test_twilio_adapter.py` | 267 | 3 | 5 | 8 |
| `igor/audit-tools/Current Config/core_kernels_prompt_builder.py` | 267 | 0 | 8 | 0 |
| `core/schemas/tests/test_packet_envelope.py` | 266 | 7 | 24 | 0 |
| `core/governance/validation.py` | 266 | 0 | 5 | 0 |
| `igor/audit-memory/core_schemas_tests_test_packet_envelope.py` | 266 | 7 | 24 | 0 |
| `core/evaluation/evaluator.py` | 265 | 5 | 4 | 3 |
| `ci/check_tool_wiring.py` | 265 | 0 | 2 | 0 |
| `tests/test_tool_registry.py` | 264 | 4 | 20 | 2 |
| `igor/audit-tools/tests_test_tool_registry.py` | 264 | 4 | 20 | 2 |
| `core/memory/runtime.py` | 263 | 1 | 2 | 2 |
| `core/schemas/research_factory_models.py` | 260 | 9 | 2 | 0 |
| `igor/01-07-2026/L9 Memory Substrate Audit/script_8.py` | 260 | 0 | 0 | 0 |
| `core/agents/graph_state/schema.py` | 259 | 0 | 0 | 0 |
| `tests/services/symbolic_computation/test_integration.py` | 259 | 5 | 16 | 7 |
| `orchestrators/evolution/orchestrator.py` | 259 | 1 | 6 | 5 |
| `tests/integration/test_unified_graph.py` | 258 | 0 | 5 | 9 |
| `tests/integration/test_l_cto_memory_governance_integration.py` | 257 | 2 | 2 | 4 |
| `api/routes/compliance.py` | 257 | 2 | 0 | 3 |
| `telemetry/memory_metrics.py` | 256 | 0 | 6 | 0 |
| `igor/audit-memory/core_schemas_packet_envelope.py` | 255 | 13 | 2 | 0 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/module.twilio_adapter/tests/test_twilio_adapter.py` | 254 | 3 | 5 | 8 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/module.calendar_adapter/tests/test_calendar_adapter.py` | 254 | 3 | 5 | 8 |
| `codegen/code-gen-files/Module Production/Module-Pipeline-Complete/module.email_adapter/tests/test_email_adapter.py` | 254 | 3 | 5 | 8 |
